id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
tokenize-xchange,Tokenize Xchange,31.52,2521645779,72688150.0,33.32,21.87,37.81252,2024-12-27T02:34:13.313Z,27-12-2024 08-11-14
bitget-token,Bitget Token,7.59,10614162029,15677337.0,7.79,6.16,23.09277,2024-12-27T02:34:20.769Z,27-12-2024 08-11-14
stepn,GMT,0.150731,394203423,392132707.0,0.166728,0.129915,14.63771,2024-12-27T02:34:12.580Z,27-12-2024 08-11-14
magic-eden,Magic Eden,3.87,500753133,1135126474.0,4.26,3.33,11.07713,2024-12-27T02:34:23.063Z,27-12-2024 08-11-14
redbelly-network-token,Redbelly Network,0.446881,455999964,5020421.0,0.483622,0.377796,7.61091,2024-12-27T02:34:11.567Z,27-12-2024 08-11-14
okb,OKB,51.16,3072143178,54214150.0,53.05,47.61,7.29451,2024-12-27T02:34:10.834Z,27-12-2024 08-11-14
hyperliquid,Hyperliquid,27.44,9166839720,320755553.0,27.83,24.25,5.45389,2024-12-27T02:34:22.127Z,27-12-2024 08-11-14
gatechain-token,Gate,15.64,1965055126,98841760.0,17.62,14.77,4.94679,2024-12-27T02:34:22.206Z,27-12-2024 08-11-14
wormhole,Wormhole,0.291585,804594109,77955218.0,0.289627,0.266243,1.72336,2024-12-27T02:34:14.466Z,27-12-2024 08-11-14
vana,Vana,19.52,606231076,422862932.0,22.88,18.81,1.1135,2024-12-27T02:34:13.823Z,27-12-2024 08-11-14
